Autores
"Pinet, F.;Miralles, A.;Bimonte, S.;Vernier, F.;Carluer, N.;Gouy, V.;Bernard, S."
"Vernier, F.;Miralles, A.;Pinet, F.;Carluer, N.;Gouy, V.;Molla, G.;Petit, K."
"Xu, Z.;Lee, J.;Park, D.;Chung, Y."
"Berrahou, L.;Lalande, N.;Serrano, E.;Molla, G.;Berti-Équille, L.;Bimonte, S.;Bringay, S.;Cernesson, F.;Grac, C.;Ienco, D.;Le Ber, F.;Teisseire, M."
"Nilakanta, S.;Scheibe, K.;Rai, A."
Abdullah, A.
"Rai, A.;Dubey, V.;Chaturvedi, K. K.;Malhotra, P. K."
"Traub, B.;Meile, R.;Speich, S.;Rösler, E."
"Bimonte, S.;Naoufal, E.;Gineste, L."
"Zaza, C.;Bimonte, S.;Faccilongo, N.;La Sala, P.;Contò, F.;Gallo, C."
"Mota, F. M.;Souza, K. M.;Ishii, R. P.;Gomes, R. C."
"Boulil, K.;Le Ber, F.;Bimonte, S.;Grac, C.;Cernesson, F. "
"Boulil, K.;Pinet, F.;Bimonte, S.;Carluer, N.;Lauvernet, C.;Cheviron, B.;Miralles, A.;Chanet, J. P."
"Bouadi, T.;Cordier, M. O.;Moreau, P.;Quiniou, R.;Salmon-Monviola, J.;Gascuel-Odoux, C."
"Vernier, F.;Leccia-Phelpin, O.;Lescot, J. M.;Minette, S.;Miralles, A.;Barberis, D.;Scordia, C.;Kuentz-Simonet, V.;Tonneau, J. P."
"Laraichi, S.;Hammani, A.;Bouignane, A."
"Xu, L.;Liang, N.;Gao, Q."
"Gupta, A. K.;Mazumdar, B. D."
"Junior, N. M. C.;Farias, T. M. T."
"Putri, A. I.;Sitanggang, I. S."
"Chriki, S.;Picard, B.;Faulconnier, Y.;Micol, D.;Brun, J. P.;Reichstadt, M.;Jurie, C.;Durand, D.;Renand, G.;Journaux, L.;Hocquette, J. F."
"Chaturvedi, K. K.;Rai, A.;Dubey, V. K.;Malhotra, P. K."
"Bimonte, S.;Boulil, K.;Chanet, J. P.;Pradel, M."
"Pinet, F.;Schneider, M."
"Thariqa, P.;Sitanggang, I. S."
"Boulil, K.;Bimonte, S.;Pinet, F."
"Maliappis, M.;Kremmydas, D."
"Ngo, V. M.;Le-Khac,N. A.;Kechadi, M. T."
"Ahmed, F.;Nandi, D.;Rahman, M.;Hasan, K. T."
